27,34
27,35
27,40
28,40
28,47
29,49
31,54
33,62
35,66
36,70
37,74
37,75
38,84
39,89
39,88
38,85
39,82
48,71
54,63
73,47
82,44
94,41
110,41
110,41
106,42
102,41
94,41
76,40
69,38
58,36
53,35
52,35
46,36
45,35
40,35
40,34
38,34
36,34
36,33
36,32
37,32
36,32
36,31
36,31
27,33
27,33
27,33
26,33
26,33
26,33
26,33
27,34
30,39
31,41
34,46
39,62
40,70
41,86
42,93
42,96
43,101
43,101
43,105
43,99
43,94
42,81
43,75
51,60
57,52
60,45
85,41
98,41
104,41
98,42
97,41
90,39
76,39
61,37
59,36
57,35
56,36
54,36
55,36
52,36
46,34
45,34
44,34
43,32
40,32
40,31
38,31
38,31
36,31
36,32
